,text
0,russia has informed us that they have removed most of their people from venezuela.
1,hearing word that russia syria and to a lesser extent iran are bombing the hell out of idlib province in syria and indiscriminately killing many innocent civilians. the world is watching this butchery. what is the purpose what will it get you? stop!
2,sean davis the federalist: “mueller proved his entire operation was a political hit job. still zero evidence of trump-russia collusion and no new evidence from mueller.”
3,russia russia russia! that’s all you heard at the beginning of this witch hunt hoax...and now russia has disappeared because i had nothing to do with russia helping me to get elected. it was a crime that didn’t exist. so now the dems and their partner the fake news media.....
4,russia russia russia! that’s all you heard at the beginning of this witch hunt hoax...and now russia has disappeared because i had nothing to do with russia helping me to get elected. it was a crime that didn’t exist. so now the dems and their partner the fake news media.....
5,“why doesn’t the press apologize to president trump for the russian collusion delusion?” how about the dems also?
6,democrat senator mark warner is acting and talking like he is in total control of the senate intelligence committee. their is nothing bipartisan about him. he should not be allowed to take “command” of that committee. too important! remember when he spoke to the russian jokester?
7,..between russia and the trump campaign. mr. mcgahn can be forgiven for declining the honor of appearing in mr. nadler’s pseudo-impeachment drama.” wall street journal editorial boardtoday - may
8,why are the democrats not looking into all of the crimes committed by crooked hillary and the phony russia investigation? they would get back their credibility. jerry nadler schiff would have a whole new future open to them. perhaps they could even run for president!
9,the mainstream media has never been as corrupt and deranged as it is today. fake news is actually the biggest story of all and is the true enemy of the people! that’s why they refuse to cover the real russia hoax. but the american people are wise to what is going on.....
10,....now the new big story is that trump made a lot of money and buys everything for cash he doesn’t need banks. but where did he get all of that cash? could it be russia? no i built a great business and don’t need banks but if i did they would be there...and deutschebank......
11,....and the democrat national committee-the democrat party apparatus-has been caught using donor dollars to collude with russian intelligence to attack a domestic political opponent (me). the fbi has no leadership. the director is protecting the same gang.....that tried to....
12,when the mueller report came out showing no collusion with russia (of course) it was supposed to be over back to work for the people. but the dems have gone “nuts” and it has actually gotten worse! hope the republicans win back the house in or little will get done!
13,think of it. i became president of the united states in one of the most hard fought and consequential elections in the history of our great nation. from long before i ever took office i was under a sick &amp; unlawful investigation concerning what has become known as the russian....
14,“everyone wants to know who needs to be accountable because it took up two years of our lives talking about this russian involvement. it proved no collusion &amp; people want to trace it back to see how this all happened?” treasonous hoax!
15,very good call yesterday with president putin of russia. tremendous potential for a good/great relationship with russia despite what you read and see in the fake news media. look how they have misled you on “russia collusion.” the world can be a better and safer place. nice!
16,when will the radical left wing media apologize to me for knowingly getting the russia collusion delusion story so wrong? the real story is about to happen! why is allowed to be on twitter &amp; facebook. much of what they do is fake news!
17,“they wanted to know what trump was up to with the russians - which of course is nonsense. this whole thing was a complete setup.” george papadopoulos to
18,had a long and very good conversation with president putin of russia. as i have always said long before the witch hunt started getting along with russia china and everyone is a good thing not a bad thing....
19,....we discussed trade venezuela ukraine north korea nuclear arms control and even the “russian hoax.” very productive talk!
20,ok so after two years of hard work and each party trying their best to make the other party look as bad as possible it’s time to get back to business. the mueller report strongly stated that there was no collusion with russia (of course) and in fact they were rebuffed.....
21,why didn’t president obama do something about russia in september (before november election) when told by the fbi? he did nothing and had no intention of doing anything!
22,“a very exculpatory section of the mueller report: no conspiracy coordination or collusion with the trump campaign and the russians. you can’t be more clear than that!”
23,the end result of the greatest witch hunt in u.s. political history is no collusion with russia (and no obstruction). pretty amazing!
24,the fake news media is doing everything possible to stir up and anger the pols and as many people as possible seldom mentioning the fact that the mueller report had as its principle conclusion the fact that there was no collusion with russia. the russia hoax is dead!
25,kimberley strassel should get the pulitzer. she is a treasure (and i don’t know her) who correctly called the russia hoax right from the start! others who were soooo wrong will get the prize. fake news!
26,“the mueller report is perhaps the single most humiliating thing that has ever happened to the white house press in the history of this country. they know they lied...many reporters lied about russia collusion and so much more. clapper &amp; brennan all lies”
27,anything the russians did concerning the election was done while obama was president. he was told about it and did nothing! most importantly the vote was not affected.
28,a must read andy mccarthy’s column today “dirty dealings of dirt devils who concocted trump-russia probe.” the greatest scam in political history. if the mainstream media were honest which they are not this story would be bigger and more important than watergate. someday!
29,the mueller report which was written by angry democrats who also happen to be trump haters (and clinton supporters) should have focused on the people who spied on my campaign and others who fabricated the whole russia hoax. that is never forget the crime.....
30,so it has now been determined by people that truly hate president trump that there was no collusion with russia. in fact it was an illegal investigation that should never have been allowed to start. i fought back hard against this phony &amp; treasonous hoax!
31,“the underlying issue remains the same without a single american being indicted for collusion with russia &amp; that is a stunning end considering we were led to believe (fake news) that something much more dramatic would happen. why did people fall for this?” molly h
32,“the reason the whole process seems so politicized is that democrats made up this complete lie about collusion ....and none of it happened.” charles hurt. the russian hoax never happened it was a fraud on the american people!
33,why should i be defending a fraudulent russian witch hunt. it’s about time the perpetrators of this fraud on me and the american people start defending their dishonest and treasonous acts. how and why did this terrible event begin? never forget!
34,.... against something i knew never existed collusion with russia (so ridiculous!) - no obstruction. this russia hoax must never happen to another president and law enforcement must find out how did it start?
35,according to polling few people seem to care about the russian collusion hoax but some democrats are fighting hard to keep the witch hunt alive. they should focus on legislation or even better an investigation of how the ridiculous collusion delusion got started - so illegal!
36,so funny that the new york times &amp; the washington post got a pulitzer prize for their coverage (% negative and fake!) of collusion with russia - and there was no collusion! so they were either duped or corrupt? in any event their prizes should be taken away by the committee!
37,robert mueller was a hero to the radical left democrats until he ruled that there was no collusion with russia (so ridiculous to even say!). after more than two years since the “insurance policy” statement was made by a dirty cop i got the answers i wanted the truth.....
38,.@greggjarrett: “trump-russia 'collusion' was always a hoax -- and dirtiest political trick in modern us history”
39,the mainstream media is under fire and being scorned all over the world as being corrupt and fake. for two years they pushed the russian collusion delusion when they always knew there was no collusion. they truly are the enemy of the people and the real opposition party!
40,“breaking news: mueller report finds no trump-russia conspiracy.”
41,“the special counsel did not find that the trump campaign or anyone associated with it conspired or coordinated with the russian government in these efforts despite multiple offers from russian-affiliated individuals to assist the trump campaign.”
42,“no matter your ideologies or your loyalties this is a good day for america. no american conspired to cooperate with russia in its efforts to interfere with the election according to robert mueller and that is good.”
43,“john solomon: as russia collusion fades ukrainian plot to help clinton emerges.”
44,....should federal election commission and/or fcc look into this? there must be collusion with the democrats and of course russia! such one sided media coverage most of it fake news. hard to believe i won and am winning. approval rating % % with republicans. sorry! #maga
45,....should never have been appointed and there should be no mueller report. this was an illegal &amp; conflicted investigation in search of a crime. russian collusion was nothing more than an excuse by the democrats for losing an election that they thought they were going to win.....
46,“the lisa page (fbi) transcript also confirms earlier reporting that page testified russian collusion was still unproven when special counsel robert mueller was appointed.” catherine herridge in other words they appointed someone when there was (and is) no crime. bad!
47,both the judge and the lawyer in the paul manafort case stated loudly and for the world to hear that there was no collusion with russia. but the witch hunt hoax continues as you now add these statements to house &amp; senate intelligence &amp; senator burr. so bad for our country!
48,now that they realize the only collusion with russia was done by crooked hillary clinton &amp; the democrats nadler schiff and the dem heads of the committees have gone stone cold crazy. letter sent to innocent people to harass them. they won’t get anything done for our country!
49,oh’ i see! now that the year russian collusion case has fallen apart there was no collusion except bye crooked hillary and the democrats they say “gee i have an idea let’s look at trump’s finances and every deal he has ever done. let’s follow discredited michael cohen.....
50,all false reporting (guessing) on my intentions with respect to north korea. kim jong un and i will try very hard to work something out on denuclearization &amp; then making north korea an economic powerhouse. i believe that china russia japan &amp; south korea will be very helpful!
51,the only collusion with the russians was with crooked hillary clinton and the democratic national committee...and where’s the server that the dnc refused to give to the fbi? where are the new texts between agent lisa page and her agent lover peter s? we want them now!
52,president xi of china has been very helpful in his support of my meeting with kim jong un. the last thing china wants are large scale nuclear weapons right next door. sanctions placed on the border by china and russia have been very helpful. great relationship with chairman kim!
53,highly respected senator richard burr head of senate intelligence said after interviewing over witnesses and studying over million pages of documents “we have found no collusion between the trump campaign and russia.” the witch hunt so bad for our country must end!
54,“if thinking that james comey is not a good fbi director is tantamount to being an agent of russia than just list all the people that are agents of russia - chuck schumer nancy pelosi rod rosenstein who wrote the memo to get rid of comey the inspector general....” trey gowdy
55,“after two years and interviewing more than two hundred witnesses the senate intelligence committee has not discovered any direct evidence of a conspiracy between the trump campaign and russia.” ken dilanian
56,disgraced fbi acting director andrew mccabe pretends to be a “poor little angel” when in fact he was a big part of the crooked hillary scandal &amp; the russia hoax - a puppet for leakin’ james comey. i.g. report on mccabe was devastating. part of “insurance policy” in case i won....
57,the senate intelligence committee: there is no evidence of collusion between the trump campaign and russia!
58,senator richard burr the chairman of the senate intelligence committee just announced that after almost two years more than two hundred interviews and thousands of documents they have found no collusion between trump and russia! is anybody really surprised by this?
59,the mainstream media has refused to cover the fact that the head of the very important senate intelligence committee after two years of intensive study and access to intelligence that only they could get just stated that they have found no collusion between “trump” &amp; russia....
60,not only did senator burr’s committee find no collusion by the trump campaign and russia it’s important because they interviewed witnesses and pages of documents &amp; the committee has direct access to intelligence information that’s classified.
61,highly respected senator richard burr chairman of senate intelligence said today that after an almost two year investigation he saw no evidence of russia collusion. “we don’t have anything that would suggest there was collusion by the trump campaign and russia.” thank you!
62,so now congressman adam schiff announces after having found zero russian collusion that he is going to be looking at every aspect of my life both financial and personal even though there is no reason to be doing so. never happened before! unlimited presidential harassment....
63,...big crooked hillary law firm represented by her lawyer michael sussmann (do you believe this?) who worked baker hard &amp; gave him oppo research for “a russia probe.” this meeting now exposed is the subject of senate inquiries and much more. an unconstitutional hoax.
